,City,Id,country,lat,lng,Cloudiness,humidity,temperature,wind_speed
0,Bengkulu,1649150,ID,-3.8004,102.2655,82,90,73.33,2.75
1,Saint-Philippe,935215,RE,-21.3585,55.7679,4,71,63.14,7.27
2,Punta Arenas,3874787,CL,-53.15,-70.9167,90,87,42.91,17.27
3,Luanda,2240449,AO,-8.8368,13.2343,20,78,71.6,6.91
4,Natick,4944994,US,42.2834,-71.3495,6,78,64.08,4.45
5,Lahaina,5849996,US,20.8783,-156.6825,89,69,85.05,9.95
6,Örnsköldsvik,2686469,SE,63.2909,18.7153,90,93,43.75,3.44
7,Vila Velha,3445026,BR,-20.3297,-40.2925,75,83,76.95,2.3
8,Lamar,4705086,US,33.6668,-95.5836,20,55,88.48,5.75
9,Khatanga,2022572,RU,71.9667,102.5,100,98,31.41,12.77
10,Saint-Augustin,6137462,CA,51.226,-58.6502,6,49,51.1,9.33
11,Mataura,6201424,NZ,-46.1927,168.8643,64,56,55.47,6.11
12,Ribeira Grande,3372707,PT,38.5167,-28.7,36,68,69.93,10.47
13,Upernavik,3418910,GL,72.7868,-56.1549,73,63,25.52,7.52
14,Albany,5106841,US,42.6001,-73.9662,5,77,62.04,2.21
15,Berezovyy,2026786,RU,51.6667,135.7,26,53,51.48,7.43
16,Longyearbyen,2729907,SJ,78.2186,15.6401,75,93,39.04,2.3
17,Tura,1254046,IN,25.5198,90.2201,33,98,71.51,4.09
18,Hermanus,3366880,ZA,-34.4187,19.2345,0,77,49.8,14.18
19,Yangi Marg`ilon,1513491,UZ,40.4272,71.7189,0,37,68.68,6.91
20,Bintulu,1737486,MY,3.1667,113.0333,40,100,75.61,5.75
21,La Ronge,6050066,CA,55.1001,-105.2842,75,44,57.45,13.8
22,Los Llanos de Aridane,2514651,ES,28.6585,-17.9182,20,80,69.12,8.05
23,Marolambo,1060007,MG,-20.05,48.1167,100,99,59.63,1.16
24,Tuktoyaktuk,6170031,CA,69.4541,-133.0374,75,49,44.6,13.8
25,Tawang Town,1254832,IN,27.5833,91.8667,13,86,51.21,4.76
26,Puerto Ayora,3652764,EC,-0.7393,-90.3518,75,88,70.56,5.99
27,Balyqshy,610445,KZ,47.0667,51.8667,0,35,53.6,11.18
28,Oga,3175788,IT,46.4631,10.347,100,98,40.87,7.11
29,Hilo,5855927,US,19.7297,-155.09,90,83,77.4,0
30,Skibbereen,2961459,IE,51.55,-9.2667,64,91,55.2,8.32
31,Sitka,5557293,US,57.0531,-135.33,75,76,55.29,4.61
32,Sorong,1626542,ID,-0.8833,131.25,100,85,78.73,4.83
33,Mount Isa,2065594,AU,-20.7333,139.5,4,29,78.57,8.05
34,Provideniya,4031574,RU,64.3833,-173.3,20,55,33.91,13.42
35,Hithadhoo,1282256,MV,-0.6,73.0833,99,78,81.95,5.08
